address,name,account_type,type
0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb 4,eoa,Exchange
0xc1da8f69e4881efe341600620268934ef01a3e63,Bithumb 5,eoa,Exchange
0xb4460b75254ce0563bb68ec219208344c7ea838c,Bithumb 6,eoa,Exchange
0x15878e87c685f866edfaf454be6dc06fa517b35b,Bithumb 7,eoa,Exchange
0x31d03f07178bcd74f9099afebd23b0ae30184ab5,Bithumb 8,eoa,Exchange
0xed48dc0628789c2956b1e41726d062a86ec45bff,Bithumb 9,eoa,Exchange
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb: Contract 1,eoa,Exchange
0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,eoa,Exchange
0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,BitMart 2,eoa,Exchange
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp 1,eoa,Exchange
0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,eoa,Exchange
0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp 3,eoa,Exchange
0x059799f2261d37b829c2850cee67b5b975432271,Bitstamp 4,eoa,Exchange
0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,eoa,Exchange
0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Bitstamp 6,eoa,Exchange
0x964771f6df31eea2d927fa71d7bd78e81bcdce05,Bitstamp: Contract 1,eoa,Exchange
0x1b8a38ea02ceda9440e00c1aeba26ee2dc570423,BITStorage,eoa,Exchange
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,eoa,Exchange
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex 2,eoa,Exchange
0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,eoa,Exchange
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,eoa,Exchange
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io 2,eoa,Exchange
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,eoa,Exchange
0x00cdc153aa8894d08207719fe921fff964f28ba3,Bitzlato,eoa,Exchange
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio,eoa,Exchange
0x007174732705604bbbf77038332dc52fd5a5000c,BlockTrades Exchange,eoa,Exchange
0xdf8752caa319668006580ddf48db25a23728b926,Bololex.com,eoa,Exchange
0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c,BTC-Alpha Exchange,eoa,Exchange
0x73957709695e73fd175582105c44743cf0fb6f2f,Bw.com,eoa,Exchange
0xd7c866d0d536937bf9123e02f7c052446588189f,C2CX: Hot Wallet,eoa,Exchange
0x88988d6ef12d7084e34814b9edafa01ae0d05082,CamboChanger 2,eoa,Exchange
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,eoa,Exchange
0x7a56f645dcb513d0326cbaa048e9106ff6d4cd5f,Catex Exchange,eoa,Exchange
0xfd648cc72f1b4e71cbdda7a0a91fe34d32abd656,ChainX,eoa,Exchange
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,Changelly,eoa,Exchange
0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood 1,eoa,Exchange
0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Cobinhood 2,eoa,Exchange
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase 1,eoa,Exchange
0x503828976d22510aad0201ac7ec88293211d23da,Coinbase 2,eoa,Exchange
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase 3,eoa,Exchange
0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase 4,eoa,Exchange
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,eoa,Exchange
0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase 6,eoa,Exchange
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,eoa,Exchange
0x33683b94334eebc9bd3ea85ddbda4a86fb46140z,Coinbene: Cold Wallet,eoa,Exchange
0xb6ba1931e4e74fd080587688f6db10e830f810d5,Coindelta,eoa,Exchange
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,eoa,Exchange
0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,Coinex 2,eoa,Exchange
